Subject,Course Number,Section Number,Class Number,M,T,W,Th,F,Sa,Su,Departmental Approval,Max Enroll
CSE,1105,1,83274,Y,N,N,N,N,N,N,N,150
CSE,1105,2,83275,N,N,Y,N,N,N,N,N,150
CSE,1105,3,83276,N,N,N,N,Y,N,N,N,150
CSE,1105,4,89285,Y,N,N,N,N,N,N,N,100
CSE,1105,5,89400,N,N,N,N,Y,N,N,N,100
CSE,1301,1,81047,N,Y,N,Y,N,N,N,N,40
CSE,1301,2,84959,N,N,N,Y,N,N,N,N,20
CSE,1301,5,81048,N,N,N,Y,N,N,N,N,20
CSE,1310,1,88207,N,Y,N,Y,N,N,N,N,45
CSE,1310,2,88208,N,Y,N,Y,N,N,N,N,45
CSE,1310,3,84826,N,Y,N,Y,N,N,N,N,150
CSE,1310,4,88209,Y,N,Y,N,N,N,N,N,45
CSE,1310,5,88210,Y,N,Y,N,N,N,N,N,45
CSE,1310,6,89406,Y,N,Y,N,N,N,N,N,45
CSE,1310,7,89407,Y,N,Y,N,N,N,N,N,45
CSE,1310,8,89624,Y,N,Y,N,N,N,N,N,70
CSE,1311,1,88211,,,,,,,,N,0
CSE,1311,3,81049,N,Y,N,Y,N,N,N,N,50
CSE,1320,1,86997,Y,N,Y,N,N,N,N,N,45
CSE,1320,2,85275,Y,N,Y,N,N,N,N,N,40
CSE,1320,3,88297,Y,N,Y,N,N,N,N,N,40
CSE,1320,4,88760,N,Y,N,Y,N,N,N,N,40
CSE,1320,5,89634,N,Y,N,Y,N,N,N,N,45
CSE,1325,1,88217,N,Y,N,Y,N,N,N,N,45
CSE,1325,2,88219,N,Y,N,Y,N,N,N,N,45
CSE,1325,3,88220,N,Y,N,Y,N,N,N,N,45
CSE,1325,4,88707,N,Y,N,Y,N,N,N,N,45
CSE,2100,1,86872,Y,N,N,N,N,N,N,N,25
CSE,2100,2,86873,N,Y,N,N,N,N,N,N,25
CSE,2100,3,86874,N,N,Y,N,N,N,N,N,25
CSE,2100,4,87215,N,N,N,Y,N,N,N,N,25
CSE,2100,5,88920,Y,N,N,N,N,N,N,N,20
CSE,2100,6,88921,N,N,Y,N,N,N,N,N,20
CSE,2100,7,88922,N,N,N,Y,N,N,N,N,20
CSE,2312,1,88212,Y,N,Y,N,N,N,N,N,45
CSE,2312,2,88213,Y,N,Y,N,N,N,N,N,45
CSE,2312,3,85351,Y,N,Y,N,N,N,N,N,45
CSE,2312,4,88709,N,Y,N,Y,N,N,N,N,40
CSE,2315,1,86574,Y,N,Y,N,N,N,N,N,48
CSE,2315,2,83312,N,Y,N,Y,N,N,N,N,45
CSE,2315,3,88695,N,Y,N,Y,N,N,N,N,40
CSE,2315,4,88696,N,Y,N,Y,N,N,N,N,48
CSE,2315,5,88688,Y,N,Y,N,N,N,N,N,40
CSE,2320,1,85186,Y,N,Y,N,N,N,N,N,60
CSE,2320,2,84217,Y,N,Y,N,N,N,N,N,60
CSE,2320,3,85962,N,Y,N,Y,N,N,N,N,45
CSE,2440,1,88918,N,Y,N,Y,N,N,N,N,30
CSE,2440,2,88919,N,Y,N,N,N,N,N,N,1
CSE,2440,3,89320,N,N,N,Y,N,N,N,N,15
CSE,2441,1,84464,N,Y,N,Y,N,N,N,N,25
CSE,2441,2,84465,N,N,N,N,Y,N,N,N,13
CSE,2441,3,84518,N,N,N,N,Y,N,N,N,12
CSE,3302,1,81050,N,Y,N,Y,N,N,N,N,40
CSE,3302,2,86647,N,Y,N,Y,N,N,N,N,40
CSE,3302,3,88325,N,N,Y,N,N,N,N,N,40
CSE,3310,1,84267,N,Y,N,Y,N,N,N,N,55
CSE,3310,2,88326,N,Y,N,Y,N,N,N,N,45
CSE,3310,3,89512,,,,,,,,N,45
CSE,3311,1,87776,Y,N,Y,N,N,N,N,N,40
