time,latitude,longitude,mag,net,place
2018-02-10T20:13:15.660Z,33.748,-117.746,1.68,ci,"5km ESE of North Tustin, CA"
2018-02-10T20:08:56.323Z,63.2494,-151.6834,1.2,ak,"130km NW of Talkeetna, Alaska"
2018-02-10T20:05:04.550Z,59.8729,-136.9652,1.6,ak,"102km SSE of Haines Junction, Canada"
2018-02-10T20:03:04.610Z,36.0723,129.2923,4.8,us,"7km NW of Hoko, South Korea"
2018-02-10T19:38:53.670Z,33.2651667,-117.3476667,1.63,ci,"5km NE of Camp Pendleton South, CA"
2018-02-10T19:14:23.690Z,33.761,-116.0815,0.83,ci,"12km NE of Coachella, CA"
2018-02-10T19:10:07.590Z,33.2598333,-116.8646667,1.41,ci,"10km WNW of Lake Henshaw, CA"
2018-02-10T19:08:31.410Z,33.4918327,-116.8016663,2.96,ci,"8km NE of Aguanga, California"
2018-02-10T18:56:51.443Z,39.4757,-120.3322,1.3,nn,"20km NW of Truckee, California"
2018-02-10T18:28:45.450Z,33.3243333,-116.4206667,1.02,ci,"9km NNW of Borrego Springs, CA"
2018-02-10T18:24:55.192Z,36.7032,-116.0913,0,nn,"55km N of Pahrump, Nevada"
2018-02-10T18:24:25.470Z,36.5268326,-121.1039963,2.08,nc,"4km E of Pinnacles, CA"
2018-02-10T18:01:59.290Z,33.2656667,-116.0131667,2.21,ci,"6km SW of Salton City, CA"
2018-02-10T18:01:06.220Z,38.8105011,-122.8255005,1.7,nc,"7km WNW of The Geysers, CA"
2018-02-10T17:56:58.680Z,34.2748333,-117.1395,0.98,ci,"5km ENE of Lake Arrowhead, CA"
2018-02-10T17:50:25.570Z,33.6575,-116.694,0.34,ci,"10km SSE of Idyllwild, CA"
2018-02-10T17:46:03.587Z,65.4111,-144.6265,1.6,ak,"7km SSE of Circle Hot Springs Station, Alaska"
2018-02-10T17:13:58.560Z,38.8156662,-122.8168335,0.9,nc,"7km NW of The Geysers, CA"
2018-02-10T17:04:24.350Z,37.6220016,-118.885498,1.23,nc,"8km ESE of Mammoth Lakes, CA"
2018-02-10T17:02:11.950Z,37.6264992,-118.8891678,0.87,nc,"8km E of Mammoth Lakes, CA"
2018-02-10T16:57:39.700Z,46.8908333,-121.7458333,0.57,uw,"32km N of Packwood, Washington"
2018-02-10T16:32:12.984Z,61.4675,-149.9467,1.7,ak,"6km S of Big Lake, Alaska"
2018-02-10T16:20:32.570Z,19.3641663,-155.2928314,1.73,hv,"9km SW of Volcano, Hawaii"
2018-02-10T16:08:43.290Z,33.1833333,-117.1138333,0.88,ci,"7km NE of San Marcos, CA"
2018-02-10T16:08:32.260Z,18.4809,145.651,4.9,us,"31km S of Agrihan, Northern Mariana Islands"
2018-02-10T16:03:38.350Z,33.195,-116.7305,0.7,ci,"6km SSE of Lake Henshaw, CA"
2018-02-10T16:00:09.250Z,46.6646,155.3059,4.6,us,East of the Kuril Islands
2018-02-10T15:52:06.450Z,36.7736664,-121.5045013,2.54,nc,"8km SSE of San Juan Bautista, CA"
2018-02-10T15:27:32.790Z,-6.6993,150.3254,4.5,us,"101km ESE of Kandrian, Papua New Guinea"
2018-02-10T15:21:53.130Z,38.8133316,-122.8161697,0.88,nc,"6km NW of The Geysers, CA"
2018-02-10T15:20:51.890Z,33.2263333,-116.7761667,0.64,ci,"2km SW of Lake Henshaw, CA"
2018-02-10T15:15:32.530Z,14.1562,-91.2169,4.3,us,"10km ESE of Nueva Concepcion, Guatemala"
2018-02-10T15:10:03.973Z,61.7808,-148.4718,1.3,ak,"20km E of Sutton-Alpine, Alaska"
2018-02-10T14:54:25.165Z,57.6202,-155.5178,2.8,ak,"92km W of Larsen Bay, Alaska"
2018-02-10T14:53:55.400Z,33.5038333,-116.7938333,0.21,ci,"10km NE of Aguanga, CA"
2018-02-10T14:36:35.658Z,37.3712,-114.8831,0.5,nn,"24km E of Alamo, Nevada"
2018-02-10T14:27:06.740Z,56.0073,-149.7217,4.2,us,"257km SE of Kodiak, Alaska"
2018-02-10T14:26:54.710Z,53.4464,-165.9368,2.2,ak,"61km SE of Unalaska, Alaska"
2018-02-10T14:24:38.440Z,38.8009987,-122.836998,0.56,nc,"8km WNW of The Geysers, CA"
2018-02-10T14:21:39.480Z,38.8356667,-122.8284988,0.89,nc,"9km NW of The Geysers, CA"
2018-02-10T14:21:30.050Z,38.8226662,-122.8560028,0.76,nc,"10km WNW of The Geysers, CA"
2018-02-10T14:15:16.800Z,38.8138351,-122.8079987,0.87,nc,"6km NW of The Geysers, CA"
2018-02-10T14:12:54.860Z,38.8213348,-122.8564987,0.81,nc,"10km WNW of The Geysers, CA"
2018-02-10T14:11:13.512Z,52.192,-174.2708,2.9,ak,"4km W of Atka, Alaska"
2018-02-10T14:00:47.900Z,33.3598333,-116.8838333,0.58,ci,"2km WNW of Palomar Observatory, CA"
2018-02-10T13:53:34.950Z,19.2775,-64.9463,3.35,pr,"101km NNW of Road Town, British Virgin Islands"
2018-02-10T13:52:56.020Z,38.8133316,-122.8056641,2.18,nc,"6km NW of The Geysers, CA"
2018-02-10T13:50:34.680Z,18.1568,-66.9976,2.21,pr,"3km SW of Maricao, Puerto Rico"
2018-02-10T13:47:28.246Z,38.2947,-118.636,0.2,nn,"25km S of Hawthorne, Nevada"
2018-02-10T13:41:39.800Z,38.6501,-118.2446,0.1,nn,"35km ENE of Hawthorne, Nevada"
2018-02-10T13:16:56.580Z,56.1894,-149.3223,3.8,us,"258km SE of Kodiak, Alaska"
2018-02-10T13:06:26.100Z,46.8433333,-121.9426667,0.74,uw,"24km E of Eatonville, Washington"
2018-02-10T12:44:52.320Z,33.5131667,-116.7968333,0.32,ci,"10km NE of Aguanga, CA"
2018-02-10T12:39:43.980Z,44.1935,-114.6541667,1.89,mb,"48km SW of Challis, Idaho"
2018-02-10T12:30:24.952Z,36.6793,-117.2027,0.1,nn,"47km WSW of Beatty, Nevada"
2018-02-10T12:26:50.350Z,38.8175011,-122.795166,1,nc,"6km NW of The Geysers, CA"
2018-02-10T12:24:02.444Z,59.9301,-145.4204,1.6,ak,"70km SSE of Cordova, Alaska"
2018-02-10T12:11:14.180Z,33.4766667,-116.8086667,0.21,ci,"6km NE of Aguanga, CA"
2018-02-10T12:07:40.454Z,38.3016,-119.2506,1,nn,"5km NNW of Bridgeport, California"
2018-02-10T12:00:12.010Z,46.1978333,-122.1981667,-0.06,uw,"37km NNE of Amboy, Washington"
2018-02-10T11:52:17.110Z,40.3428345,-122.0818329,2.05,nc,"20km WSW of Manton, CA"
2018-02-10T11:04:52.340Z,35.56,-118.3188333,1.11,ci,"15km ESE of Lake Isabella, CA"
2018-02-10T11:04:15.170Z,15.1451,-92.2372,5.1,us,"17km N of Veinte de Noviembre, Mexico"
2018-02-10T11:03:16.076Z,61.5969,-148.2574,1.2,ak,"36km E of Lazy Mountain, Alaska"
2018-02-10T10:59:46.430Z,19.203167,-155.4686737,1.96,hv,"1km E of Pahala, Hawaii"
2018-02-10T10:50:43.350Z,33.771,-116.9313333,0.58,ci,"3km ESE of San Jacinto, CA"
2018-02-10T10:47:17.730Z,37.6208344,-118.8838348,1.24,nc,"9km ESE of Mammoth Lakes, CA"
2018-02-10T10:14:36.030Z,19.3123341,-155.2526703,1.83,hv,"13km S of Volcano, Hawaii"
2018-02-10T10:14:07.990Z,38.8106651,-122.8259964,0.87,nc,"7km WNW of The Geysers, CA"
2018-02-10T10:11:07.734Z,36.6659,-117.18,0.2,nn,"46km SW of Beatty, Nevada"
2018-02-10T10:07:08.043Z,38.2997,-119.334,1.2,nn,"10km WNW of Bridgeport, California"
2018-02-10T10:01:40.520Z,38.7876663,-122.7630005,0.56,nc,"1km NNW of The Geysers, CA"
2018-02-10T09:54:33.071Z,40.0617,-121.0145,1.1,nn,"10km SSW of Greenville, California"
2018-02-10T09:48:58.090Z,46.191,-122.2963333,0.31,uw,"33km NNE of Amboy, Washington"
2018-02-10T09:45:20.760Z,-42.034,88.1544,4.9,us,Southeast Indian Ridge
2018-02-10T09:30:02.027Z,39.0081,-118.406,0.3,nn,"44km WNW of Gabbs, Nevada"
2018-02-10T09:27:32.356Z,39.0098,-118.4151,1.3,nn,"45km WNW of Gabbs, Nevada"
2018-02-10T09:24:31.646Z,53.6663,-165.3336,2.4,ak,"59km SSE of Akutan, Alaska"
2018-02-10T09:21:30.379Z,38.3883,-118.7695,0.5,nn,"19km SW of Hawthorne, Nevada"
2018-02-10T09:14:33.428Z,65.1335,-148.6142,1,ak,"42km NW of Ester, Alaska"
2018-02-10T09:13:59.940Z,19.2001667,-155.4673309,1.99,hv,"1km ESE of Pahala, Hawaii"
2018-02-10T09:13:11.830Z,19.2019997,-155.4701691,1.87,hv,"1km ESE of Pahala, Hawaii"
2018-02-10T09:03:33.460Z,38.8106651,-122.8183365,0.89,nc,"6km NW of The Geysers, CA"
2018-02-10T08:50:45.140Z,33.5156667,-116.4496667,0.66,ci,"21km SW of La Quinta, CA"
2018-02-10T08:45:02.930Z,33.736,-117.8843333,1.13,ci,"1km SSW of Santa Ana, CA"
2018-02-10T08:37:59.660Z,33.3066673,-117.1458359,1.21,ci,"7km ENE of Bonsall, California"
2018-02-10T08:33:19.460Z,55.8671,-149.3647,4.1,us,"283km SE of Kodiak, Alaska"
2018-02-10T08:31:28.330Z,61.9827,-150.8844,1.8,ak,"51km WNW of Willow, Alaska"
2018-02-10T08:31:05.240Z,34.5316667,-118.1155,2.13,ci,"4km N of Vincent, CA"
2018-02-10T08:30:54.700Z,-43.2596,170.4855,4.3,us,"71km SSW of Hokitika, New Zealand"
2018-02-10T08:02:45.830Z,39.6051674,-121.9031677,1.5,nc,"10km WSW of Durham, CA"
2018-02-10T07:52:58.490Z,33.4993333,-116.7883333,0.87,ci,"10km NE of Aguanga, CA"
2018-02-10T07:49:49.420Z,18.9921,-64.5595,2.89,pr,"63km N of Road Town, British Virgin Islands"
2018-02-10T07:49:14.910Z,33.2291667,-117.097,0.35,ci,"6km WNW of Valley Center, CA"
2018-02-10T07:48:49.450Z,24.1728,121.8533,4.2,us,"33km NE of Hualian, Taiwan"
2018-02-10T07:47:56.988Z,39.0065,-118.3971,0.7,nn,"43km WNW of Gabbs, Nevada"
2018-02-10T07:43:10.596Z,39.0054,-118.3781,0.6,nn,"42km WNW of Gabbs, Nevada"
2018-02-10T07:29:50.592Z,39.0079,-118.4095,0.4,nn,"44km WNW of Gabbs, Nevada"
2018-02-10T07:29:12.060Z,56.5429,-148.5805,3.5,us,"269km ESE of Kodiak, Alaska"
2018-02-10T07:19:39.680Z,19.4031658,-155.2805023,1.72,hv,"5km SW of Volcano, Hawaii"
2018-02-10T07:06:54.750Z,33.2338333,-116.1963333,0.74,ci,"12km NNW of Ocotillo Wells, CA"
2018-02-10T07:05:06.305Z,66.0885,-141.325,2.4,ak,"127km ENE of Circle, Alaska"
2018-02-10T07:02:05.400Z,33.1795,-116.0293333,1.35,ci,"10km ENE of Ocotillo Wells, CA"
2018-02-10T06:57:52.903Z,60.5119,-147.539,2.2,ak,"69km ESE of Whittier, Alaska"
2018-02-10T06:47:42.085Z,61.5149,-150.5068,2.3,ak,"29km W of Big Lake, Alaska"
2018-02-10T06:45:36.240Z,36.4640007,-121.0426636,1.78,nc,"12km SE of Pinnacles, CA"
2018-02-10T06:42:34.590Z,46.8396667,-119.7468333,1.92,uw,"11km SW of Royal City, Washington"
2018-02-10T06:38:25.553Z,38.3529,-118.8983,0.3,nn,"30km SW of Hawthorne, Nevada"
2018-02-10T06:36:06.233Z,38.3391,-118.5705,-0.3,nn,"21km SSE of Hawthorne, Nevada"
2018-02-10T05:41:48.500Z,33.7458333,-117.4893333,1.1,ci,"13km NE of Trabuco Canyon, CA"
2018-02-10T05:22:34.300Z,38.7931671,-122.7286682,0.36,nc,"3km NE of The Geysers, CA"
2018-02-10T05:22:26.247Z,58.3428,-145.7685,2.9,ak,"125km SSE of Middleton Island, Alaska"
2018-02-10T05:22:15.860Z,56.0588,-148.5612,3.7,us,Gulf of Alaska
2018-02-10T05:21:48.670Z,56.042,-148.622,3.3,us,Gulf of Alaska
2018-02-10T05:12:35.460Z,5.1033,125.3179,4.3,us,"36km SSW of Sarangani, Philippines"
2018-02-10T05:02:04.160Z,33.3885,-116.3713333,1.37,ci,"15km N of Borrego Springs, CA"
2018-02-10T04:44:34.800Z,18.8828,-67.346,2.95,pr,"50km NNW of San Antonio, Puerto Rico"
2018-02-10T04:40:44.513Z,36.6582,-116.2773,-0.3,nn,"51km ESE of Beatty, Nevada"
2018-02-10T04:39:47.953Z,64.8301,-147.4902,0.7,ak,"3km NNE of Badger, Alaska"
2018-02-10T04:34:36.250Z,38.8388329,-122.8261642,0.81,nc,"9km WNW of Cobb, CA"
2018-02-10T04:34:00.101Z,64.8147,-149.0368,1.5,ak,"26km N of North Nenana, Alaska"
2018-02-10T04:33:45.490Z,38.8180008,-122.8256683,0.56,nc,"8km NW of The Geysers, CA"
2018-02-10T04:21:20.210Z,33.4845,-116.8,0.3,ci,"8km NE of Aguanga, CA"
2018-02-10T04:13:30.190Z,37.558,-118.86,0.18,nc,"14km SE of Mammoth Lakes, CA"
2018-02-10T03:51:41.292Z,38.4486,-118.9119,0.6,nn,"26km WSW of Hawthorne, Nevada"
2018-02-10T03:29:01.810Z,35.6493333,-119.7486667,1.53,ci,"36km SW of Alpaugh, CA"
2018-02-10T03:24:43.070Z,63.9281,-149.5206,1.6,ak,"28km WNW of Healy, Alaska"
2018-02-10T03:24:22.550Z,59.903,-136.7056,1.7,ak,"92km WNW of Skagway, Alaska"
2018-02-10T03:15:43.740Z,60.6057,-141.6798,1.1,ak,"73km NE of Cape Yakataga, Alaska"
2018-02-10T03:12:19.650Z,33.4913333,-116.7816667,0.4,ci,"9km NE of Aguanga, CA"
2018-02-10T03:10:55.290Z,38.8188324,-122.8146667,0.55,nc,"7km NW of The Geysers, CA"
2018-02-10T03:10:21.720Z,38.8134995,-122.8154984,1.07,nc,"6km NW of The Geysers, CA"
2018-02-10T03:09:30.420Z,51.7248,179.9099,4.3,us,"33km SE of Semisopochnoi Island, Alaska"
2018-02-10T03:07:06.100Z,33.436,-116.3925,0.79,ci,"20km N of Borrego Springs, CA"
2018-02-10T03:01:21.670Z,38.8134995,-122.8188324,0.88,nc,"7km NW of The Geysers, CA"
2018-02-10T02:58:42.370Z,38.8121681,-122.8174973,0.55,nc,"7km NW of The Geysers, CA"
2018-02-10T02:42:57.040Z,38.8059998,-122.8105011,2.4,nc,"6km NW of The Geysers, CA"
2018-02-10T02:41:14.080Z,19.4058342,-155.2768402,1.81,hv,"4km SW of Volcano, Hawaii"
2018-02-10T02:39:40.980Z,38.8171654,-122.8151703,1.16,nc,"7km NW of The Geysers, CA"
2018-02-10T02:32:11.964Z,38.844,-117.8754,1.1,nn,"4km SE of Gabbs, Nevada"
2018-02-10T02:31:00.490Z,38.8093338,-122.8238297,0.56,nc,"7km WNW of The Geysers, CA"
2018-02-10T02:30:19.150Z,33.377,-116.7786667,1.07,ci,"8km ENE of Palomar Observatory, CA"
2018-02-10T02:23:17.970Z,38.7941666,-122.7806702,0.53,nc,"3km NW of The Geysers, CA"
2018-02-10T02:22:59.179Z,39.0089,-118.4125,1.1,nn,"45km WNW of Gabbs, Nevada"
2018-02-10T02:17:47.400Z,38.8138351,-122.822998,0.56,nc,"7km NW of The Geysers, CA"
2018-02-10T02:16:24.950Z,33.4973333,-116.7885,0.37,ci,"9km NE of Aguanga, CA"
2018-02-10T02:13:26.536Z,56.1322,-148.5658,3.2,ak,"297km SE of Kodiak, Alaska"
2018-02-10T02:09:34.320Z,37.6068333,-118.8216667,0.33,nc,"14km WNW of Toms Place, CA"
2018-02-10T02:08:27.590Z,38.814167,-122.8203354,1.04,nc,"7km NW of The Geysers, CA"
2018-02-10T02:07:56.460Z,38.8121681,-122.8203354,1.32,nc,"7km NW of The Geysers, CA"
2018-02-10T02:04:29.951Z,55.9093,-149.8783,3.3,ak,"260km SE of Kodiak, Alaska"
2018-02-10T02:02:28.930Z,38.8071671,-122.8119965,1.44,nc,"6km NW of The Geysers, CA"
2018-02-10T02:01:13.960Z,38.6515007,-122.7720032,1.69,nc,"10km ENE of Healdsburg, CA"
